Location,Supply Source,Item #,Name,Qty. On Hand,Par Level,Min Level,Reorder Qty,Custom #, Bin #, Price, GL #, Pack Count, Custom 1, Custom 2, Custom 3, Ext. Price
Sumner Vault,Amazon,P085,UrinalDeodorizer_15pc/pk,0,0,0,0,SUPPLIES,,29.97,,1,,,,0
Sumner Vault,Amazon,P086,BinderClips_96pc/bx,0,0,0,0,SUPPLIES,,9.13,,1,,,,0
Sumner Vault,Amazon,P087,BroomHolder,0,0,0,0,SUPPLIES,,13.49,,1,,,,0
Sumner Vault,DAWN FOODS INC,I071,VanillaCremeCakeMix_Balance_50lb/bg Item#02379552,0,0,0,0,INGREDIENT,,103.34,,1,,,,0
Sumner Vault,SA MILLIGAN,712001-950,AllSpice_PacificSpiceCompany_50lb/bg Item#712001-950,0,0,0,0,INGREDIENT,,300,,1,,,,0
Sumner Vault,SA MILLIGAN,I072,AllSpice_PacificSpiceCompany_50lb/bg Item#712001-950,0,0,0,0,INGREDIENT,,300,,1,,,,0
Sumner Vault,GREAT LITTLE BOX COMPANY,P090,Large4CellBox(12pk)-New_25pc/bn Item#904320090-001,0,0,0,0,PACKAGING,,0,,1,,,,0
Sumner Vault,Uline,P091,PlasticPallets Item#H-1023,0,0,0,0,SUPPLIES,,54,,1,,,,0
Sumner Vault,Amazon,P092,PlasticOversleevesProtectors 100pc/pk ,0,0,0,0,SUPPLIES,,15.95,,1,,,,0
Sumner Vault,OLIVE NATION,I073,LemonOil_OiliveNation_1Gal/jg Item#OCY15,0,0,0,0,INGREDIENT,,416.99,,1,,,,0
Sumner Vault,OLIVE NATION,I074,LemonExtract_OliveNation_1Gal/jg Item#BDAO128-B,0,0,0,0,INGREDIENT,,107.09,,1,,,,0
Sumner Vault,GRIP B,P094,StickerSeals,8,0,0,0,PACKAGING,,0,,1,,,,0
Sumner Vault,Antonina's Bakery,ANTYELLOWDRYMIX,Yellow Dry Mix (50lb/bag),13,0,0,0,INGREDIENT,,42.5,,1,,,,552.5
Sumner Vault,Antonina's Bakery,ANTVCDRYMIX,VC Dry Mix (50lb/bag),1,0,0,0,INGREDIENT,,42.5,,1,,,,42.5
Sumner Vault,Amazon,P095,PaperShredder_Amazon,0,0,0,0,SUPPLIES,,133.94,,1,,,,0
Sumner Vault,LANDSBERG,P096,Large4Cell_Panoramic_225pc/cs_24pp Item#1552338,0,0,0,0,PACKAGING,,74.25,,1,,,,0
Sumner Vault,LANDSBERG,P097,CakePads_Black Item#1553382,129,0,0,0,PACKAGING,,37.74,,1,,,,4868.46
Sumner Vault,MEDOSWEET,I075,CageFreeLiquidEgg_30lb/cs Item#1144,68,0,0,0,INGREDIENT,,68.1,,1,,,,4630.8
Sumner Vault,CREDIT CARD WILL CALLS,I076,Salt_Morton_50lb/bg Item#024600015127,0,0,0,0,INGREDIENT,,11.35,,1,,,,0
Sumner Vault,INDIA TREE,I077,RainbowSugar_IndiaTree_30lb/bx Item#90260,3,0,0,0,INGREDIENT,,191.75,,1,,,,575.25
Sumner Vault,Uline,P098,NumbersKit_Uline Item#S-6008,0,0,0,0,SUPPLIES,,89,,1,,,,0
Sumner Vault,Uline,P099,"2""TapeDispenser_Uline Item#H-567",0,0,0,0,SUPPLIES,,14,,1,,,,0
Sumner Vault,Uline,P100,BundleWrap_Uline Item#S-5056,0,0,0,0,PACKAGING,,5.5,,1,,,,0
Sumner Vault,Uline,P101,RingCakeBoxes_Uline _14x14x12 Item#S-20463,175,0,0,0,PACKAGING,,1.49,,1,,,,260.75
Sumner Vault,CHEF'STORE,I078,MilkPowder_DariGold_ 50lb/bg,0,0,0,0,INGREDIENT,,144.75,,1,,,,0
Sumner Vault,COSTCO,P102,CopyPaper_Costco Item#2779,4,0,0,0,SUPPLIES,,42.82,,1,,,,171.28
Sumner Vault,PINN PACK,M 07D-375-W-X Ring cake lid,07D-375-W-X Ring cake lid 540/cs,42,0,0,0,PACKAGING,,66.36,,1,,,,2787.12
Sumner Vault,PINN PACK,M 07BR-538-X,Ring Cake Base 675/cs,32,0,0,0,PACKAGING,,76.79,,1,,,,2457.28
Sumner Vault,Uline,P103,WhiteRoundCakePads _Uline_250PC/CS Item#S-13257,0,0,0,0,PACKAGING,,51,,1,,,,0
Sumner Vault,Antonina's Bakery,CELEBRATIONDRYMIX,Celebration Dry Mix (50lb/bag),22,0,0,0,INGREDIENT,,42.5,,1,,,,935
Sumner Vault,Antonina's Bakery,SIMPLETRUTHCELEBRATION,Simple Truth Celebration Cake Item#81527 (54/pallet),0,0,0,0,FINISHED GOODS,,50.16,,1,,,,0
