"Location","Supply Source","Item #","Name","Qty. On Hand","Par Level","Min Level","Reorder Qty","Custom #"," Bin #"," Price"," GL #"," Pack Count"," Custom 1"," Custom 2"," Custom 3"," Ext. Price"
"Manteca Warehouse","DAWN FOODS INC","288035","Unbleached All Purpose Flour ","0","0","0","0","INGREDIENT ","","29.58","","1","","","","0.00"
"Sumner Vault","Amazon","P085","UrinalDeodorizer_15pc/pk","0","0","0","0","PACKAGING","","29.97","","1","","","","0.00"
"Sumner Vault","Amazon","P086","BinderClips_96pc/bx","0","0","0","0","PACKAGING","","9.13","","1","","","","0.00"
"Sumner Vault","Amazon","P087","BroomHolder","0","0","0","0","PACKAGING","","13.49","","1","","","","0.00"
"Sumner Vault","DAWN FOODS INC","I071","VanillaCremeCakeMix_Balance_50lb/bg Item#02379552","1","0","0","0","INGREDIENT","","103.34","","1","","","","103.34"
"Transit","Antonina's Bakery","TJGINGERMUFFIN","Trader Joes Triple Ginger Muffin 12pk Item#74636 (60/pallet)","480","0","0","0","FINISHED GOODS","","39.58","","1","","","","18998.40"
"Transit","Antonina's Bakery","ENZYMEDRYMIX","Enzyme Dry Mix (50lb/bag)","0","0","0","0","INGREDIENT","","42.50","","1","","","","0.00"
"Manteca Warehouse","BAYCO","M BYCOSALT50","Salt Morton Pure Sun","0","0","0","0","INGREDIENT","","11.90","","1","","","","0.00"
"Manteca Warehouse","DAWN FOODS INC","1227596","Purex Salt","0","0","0","0","INGREDIENT","","12.95","","1","","","","0.00"
"Sumner Vault","SA MILLIGAN","712001-950","AllSpice_PacificSpiceCompany_50lb/bg Item#712001-950","0","0","0","0","INGREDIENT","","300.00","","1","","","","0.00"
"Sumner Vault","SA MILLIGAN","I072","AllSpice_PacificSpiceCompany_50lb/bg Item#712001-950","0","0","0","0","INGREDIENT","","300.00","","1","","","","0.00"
"Manteca Bakery","LANDSBERG","1479388","XL Gloves","0","0","0","0","SUPPLIES","","167.00","","1","","","","0.00"
"Manteca Bakery","LANDSBERG","LAN626851","Shrink Wrap","0","0","0","0","SUPPLIES","","72.71","","1","","","","0.00"
"Manteca Warehouse","Uline","H-7928","Trash Can Dolly","0","0","0","0","SUPPLIES","","37.00","","1","","","","0.00"
"Manteca Warehouse","Uline","H-3151GR","Carpet Mat","0","0","0","0","SUPPLIES","","103.00","","1","","","","0.00"
"Manteca Warehouse","Uline","H-9553","Dock Hook","0","0","0","0","SUPPLIES","","45.00","","1","","","","0.00"
"Manteca Warehouse","Antonina's Bakery","ENZYMEDRYMIX","Enzyme Dry Mix (50lb/bag)","50","0","0","0","INGREDIENT","","42.50","","1","","","","2125.00"
"Manteca Warehouse","Antonina's Bakery","TJGINGERMUFFIN","Trader Joes Triple Ginger Muffin 12pk Item#74636 (60/pallet)","1260","0","0","0","FINISHED GOODS","","39.58","","1","","","","49870.80"
"Manteca Warehouse","Antonina's Bakery","1551713","Hair/Beard Net","0","0","0","0","SUPPLIES","","153.85","","1","","","","0.00"
"Manteca Warehouse","LANDSBERG","1551713","Hairnet/Beard Net","1","0","0","0","SUPPLIES","","153.85","","1","","","","153.85"
"Manteca Dry Mix","BAYCO","M BYCOAPFLOUR50","All purpose flour 50lb/bg item#1060","411","0","0","0","INGREDIENT","","19.90","","1","","","","8178.90"
