Location,Supply Source,Item #,Name,Qty. On Hand,Par Level,Min Level,Reorder Qty,Custom #, Bin #, Price, GL #, Pack Count, Custom 1, Custom 2, Custom 3, Ext. Price
Sumner Vault,LANDSBERG,P001,Large 4 Cell Panoramic_ 225pc/cs_24pp Item#1552338,200,0,0,0,PACKAGING,,71.7,,1,,,,14340
Sumner Vault,LANDSBERG,P002,Large 4 Cell Box(12pk)_ Landsberg_25pc/bn_15pp Item#1545845,225,0,0,0,PACKAGING,,31.25,,1,,,,7031.25
Sumner Vault,GREAT LITTLE BOX COMPANY,P003,FLAT Large 4 Cell Box(12Pk) _GLBC_25pc/bn_16pp Item#904320082-001,608,0,0,0,PACKAGING,,38.5,,1,,,,23408
Sumner Vault,LANDSBERG,P004,LargeBakingCups_NovaCart _10500pc/cs_36pp Item#1555131,30,0,0,0,PACKAGING,,165.14,,1,,,,4954.2
Sumner Vault,LANDSBERG,P005,MediumBakingCups _NovaCart_20500pc/cs Item#1474382,85,0,0,0,PACKAGING,,115.83,,1,,,,9845.55
Sumner Vault,LANDSBERG,P006,Small 4 Cell GripB (300/cs),24,0,0,0,PACKAGING,,57.3,,1,,,,1375.2
Sumner Vault,GREAT LITTLE BOX COMPANY,P007,Small 4 Cell Box(12 pk)_GLBC _25pc/bn,36,0,0,0,PACKAGING,,27.25,,1,,,,981
Sumner Vault,GRIP B,P008,RingCakeLid_GripB_300pc/cs,0,0,0,0,PACKAGING,,23.7,,1,,,,0
Sumner Vault,PINN PACK,P009,RingCakeLid_PinnPack _540pc/cs,54,0,0,0,PACKAGING,,34.5,,1,,,,1863
Sumner Vault,GRIP B,P010,RingCakeBase_GripB_300pc/cs,0,0,0,0,PACKAGING,,14.4,,1,,,,0
Sumner Vault,PINN PACK,P011,RingCakeBase_PinnPack _675pc/cs Item#07BR-538-X,94,0,0,0,PACKAGING,,77.11,,1,,,,7248.34
Sumner Vault,GRIP B,P013,SingleLayerLid_GripB _200pc/cs Item#1517556,206,0,0,0,PACKAGING,,88.72,,1,,,,18276.32
Sumner Vault,LANDSBERG,P014,SingleLayerCakeBase_GripB _200pc/cs,48,0,0,0,PACKAGING,,72.56,,1,,,,3482.88
Sumner Vault,LANDSBERG,P015,CakePads_Landsberg _200pc/cs,92,0,0,0,PACKAGING,,34.7,,1,,,,3192.4
Sumner Vault,GREAT LITTLE BOX COMPANY,P016,LayerCakeBox_GLBC_25pc/bn,79,0,0,0,PACKAGING,,22,,1,,,,1738
Sumner Vault,LANDSBERG,P017,ShrinkWrap_Landsberg _4rl/cs Item#626851,0,0,0,0,PACKAGING,,44.77,,1,,,,0
Sumner Vault,LANDSBERG,P018,HandTape_Landsberg_36rl/cs Item#626837,0,0,0,0,PACKAGING,,68.07,,1,,,,0
Sumner Vault,LANDSBERG,P019,MachineTape_Landsberg _6rl/cs Item#626848,0,0,0,0,PACKAGING,,114.49,,1,,,,0
Sumner Vault,LANDSBERG,P020,PalletPad_Landsberg_250/pl Item#147347,0,0,0,0,PACKAGING,,357.5,,1,,,,0
Sumner Vault,LANDSBERG,P021,V-Board_Landsberg_2925/pl Item#1476155,0,0,0,0,PACKAGING,,1872,,1,,,,0
Sumner Vault,LANDSBERG,P022,PalletCovers_Landsberg _1rl/cs Item#1476720,0,0,0,0,PACKAGING,,156.31,,1,,,,0
Sumner Vault,LANDSBERG,P023,4X4Labels_Landsberg _6000pc/cs Item#1380686,5,0,0,0,PACKAGING,,124.62,,1,,,,623.1
Sumner Vault,LANDSBERG,P024,SheetLiner_Landsberg _1000pc/cs Item#1352339,49,0,0,0,PACKAGING,,30.05,,1,,,,1472.45
Sumner Vault,LANDSBERG,P025,TJ Cinnamon Coffee Cake Muffins Label 14oz_Landsberg_1000pc/rl Item#1540143,35,0,0,0,PACKAGING,,30,,1,,,,1050
Sumner Vault,GREAT LITTLE BOX COMPANY,P026,"TJDoubleChocolateMuffins, 14oz_GLBC_1000pc/rl Item#904320073-001",123,0,0,0,PACKAGING,,33.38,,1,,,,4105.74
Sumner Vault,GREAT LITTLE BOX COMPANY,P027,"AntoninasYellowDecoratedCupcakes, 4pk_GLBC_1000pc/rl Item#904320060-001",19,0,0,0,PACKAGING,,93.85,,1,,,,1783.15
Sumner Vault,GREAT LITTLE BOX COMPANY,P028,"AntoninasChocolateDecoratedCupcakes, 4pk_GLBC_1000pc/rl Item#904320059-001",26,0,0,0,PACKAGING,,93.85,,1,,,,2440.1
Sumner Vault,GREAT LITTLE BOX COMPANY,P029,"AntoninasSingleChocolateLayerCake, 30oz_GLBC_1000pc/rl Item#904320061-002",8,0,0,0,PACKAGING,,116.94,,1,,,,935.52
Sumner Vault,GREAT LITTLE BOX COMPANY,P030,"AntoninasSingleYellowLayerCake, 30oz_GLBC_1000pc/rl Item#904320062-002",13,0,0,0,PACKAGING,,116.94,,1,,,,1520.22
Sumner Vault,GREAT LITTLE BOX COMPANY,P031,"AntoninasBlueberryRaspberryMuffins, 14oz_GLBC_1000pc/rl",19,0,0,0,PACKAGING,,182.42,,1,,,,3465.98
Sumner Vault,GREAT LITTLE BOX COMPANY,P032,"AntoninasBlueberryRaspberryMuffins, 10.5oz_GLBC_1000pc/rl Item#904320053-001",0,0,0,0,PACKAGING,,221.63,,1,,,,0
Sumner Vault,GREAT LITTLE BOX COMPANY,P033,"AntoninasChocolateChipMuffins, 14oz_GLBC_1000pc/rl",9,0,0,0,PACKAGING,,123.57,,1,,,,1112.13
Sumner Vault,GREAT LITTLE BOX COMPANY,P034,"AntoninasChocolateChipMuffins, 10.5oz_GLBC_1000pc/rl Item#904320054-001",13,0,0,0,PACKAGING,,123.57,,1,,,,1606.41
Sumner Vault,GREAT LITTLE BOX COMPANY,P035,"AntoninasLemonPoppySeedMuffins, 14oz_GLBC_1000pc/rl",13,0,0,0,PACKAGING,,123.57,,1,,,,1606.41
